month,format,device_type,bid_type,network_id,advertiser_category,spend,impressions,clicks,measurable_imps,viewable_imps,engagements,video_start,video_complete,conversions,CPM,clickthrough_rate,viewability,engagement_rate,video_completion_rate,conversion_rate
Jan-2023,display,desktop,cpm,20,Hobbies & Interests,308.28,72811,111,50734,22340,3,0,0,1,4.234,0.001524,0.4403,0.027,,0.009009
Jan-2023,display,desktop,cpm,20,Food & Drink,89.78,23217,40,21846,9158,8,0,0,0,3.867,0.001723,0.4192,0.2,,0.0
Jan-2023,display,desktop,cpm,20,Travel,39.24,12931,18,9534,4608,2,0,0,0,3.0344,0.001392,0.4833,0.1111,,0.0
Jan-2023,display,desktop,cpm,106,Shopping,38.64,12877,14,11403,5554,0,0,0,0,3.0005,0.001087,0.4871,,,0.0
Jan-2023,display,desktop,cpm,106,Health & Fitness,43.42,11177,8,10446,4451,1,0,0,0,3.885,0.000716,0.4261,0.125,,0.0
Jan-2023,display,desktop,cpm,106,News,110.37,36359,22,28434,14863,1,0,0,0,3.0355,0.000605,0.5227,0.0455,,0.0
Jan-2023,display,desktop,cpm,95,Hobbies & Interests,399.92,130892,181,92338,46287,43,0,0,1,3.0554,0.001383,0.5013,0.2376,,0.005525
Jan-2023,display,desktop,cpm,95,Travel,15.93,3307,6,3064,1560,0,0,0,0,4.8159,0.001814,0.5091,,,0.0
Jan-2023,display,desktop,cpm,95,Real Estate,79.1,24182,22,18306,9981,1,0,0,0,3.2712,0.00091,0.5452,0.0455,,0.0
Jan-2023,display,desktop,cpm,95,Health & Fitness,44.62,17319,32,16384,7006,6,0,0,0,2.5764,0.001848,0.4276,0.1875,,0.0
Jan-2023,display,desktop,cpm,95,Food & Drink,827.51,190488,111,130438,61556,24,0,0,1,4.3442,0.000583,0.4719,0.2162,,0.009009
Jan-2023,display,desktop,cpm,95,Shopping,494.95,159189,89,119002,55278,16,0,0,2,3.1092,0.000559,0.4645,0.1798,,0.022472
Jan-2023,display,desktop,cpm,95,Automotive,65.83,26158,45,21407,11445,8,0,0,0,2.5166,0.00172,0.5346,0.1778,,0.0
Jan-2023,display,desktop,cpm,134,Business,661.23,181299,221,123712,51954,6,0,0,1,3.6472,0.001219,0.42,0.0271,,0.004525
Jan-2023,display,desktop,cpm,134,Travel,166.02,35126,31,30793,14781,2,0,0,0,4.7264,0.000883,0.48,0.0645,,0.0
Jan-2023,display,desktop,cpm,134,Technology & Computing,2.49,832,0,742,416,0,0,0,0,2.9938,0.0,0.5606,,,0.0
Jan-2023,display,desktop,cpm,134,Food & Drink,686.12,154704,121,125589,69731,24,0,0,1,4.435,0.000782,0.5552,0.1983,,0.008264
Jan-2023,display,desktop,cpm,134,Arts & Entertainment,165.37,53814,34,41874,18908,7,0,0,0,3.073,0.000632,0.4515,0.2059,,0.0
Jan-2023,display,desktop,cpm,134,Hobbies & Interests,100.73,30054,25,22579,9815,5,0,0,0,3.3518,0.000832,0.4347,0.2,,0.0
Jan-2023,display,desktop,cpm,134,Shopping,70.98,19521,33,18379,8688,7,0,0,0,3.6361,0.00169,0.4727,0.2121,,0.0
Jan-2023,display,desktop,cpm,86,Arts & Entertainment,2.8,941,0,753,384,0,0,0,0,2.98,0.0,0.51,,,0.0
Jan-2023,display,desktop,cpm,86,Shopping,66.02,28390,27,20493,11428,1,0,0,0,2.3256,0.000951,0.5577,0.037,,0.0
Jan-2023,display,desktop,cpm,86,News,663.39,232961,410,195615,92599,67,0,0,1,2.8476,0.00176,0.4734,0.1634,,0.002439
Jan-2023,display,desktop,cpm,86,Food & Drink,280.61,115269,225,81374,37923,6,0,0,2,2.4344,0.001952,0.466,0.0267,,0.008889
Jan-2023,display,desktop,cpm,85,Arts & Entertainment,7.29,1826,1,1398,732,0,0,0,0,3.9905,0.000548,0.5236,,,0.0
Jan-2023,display,desktop,cpm,85,Automotive,105.71,33690,22,30765,17236,1,0,0,0,3.1377,0.000653,0.5602,0.0455,,0.0
Jan-2023,display,desktop,cpm,85,Hobbies & Interests,164.43,44845,39,41219,17745,8,0,0,0,3.6666,0.00087,0.4305,0.2051,,0.0
Jan-2023,display,desktop,cpm,116,Travel,980.75,313140,337,287817,152326,75,0,0,4,3.132,0.001076,0.5292,0.2226,,0.011869
Jan-2023,display,desktop,cpm,116,Education,23.07,8756,18,5715,2918,0,0,0,0,2.6345,0.002056,0.5106,,,0.0
Jan-2023,display,desktop,cpm,116,Real Estate,99.31,45234,33,38791,19457,5,0,0,0,2.1954,0.00073,0.5016,0.1515,,0.0
Jan-2023,display,desktop,cpm,116,Shopping,15.94,5151,9,4660,2410,1,0,0,0,3.0938,0.001747,0.5172,0.1111,,0.0
Jan-2023,display,desktop,cpm,116,Food & Drink,300.11,122798,136,88807,40617,33,0,0,1,2.4439,0.001108,0.4574,0.2426,,0.007353
Jan-2023,display,desktop,cpm,117,Real Estate,216.1,49000,66,39090,19779,4,0,0,0,4.4102,0.001347,0.506,0.0606,,0.0
Jan-2023,display,desktop,cpm,117,Business,391.82,131989,65,92805,47951,15,0,0,0,2.9686,0.000492,0.5167,0.2308,,0.0
Jan-2023,display,desktop,cpm,117,Hobbies & Interests,44.3,19916,42,18720,9037,10,0,0,0,2.2245,0.002109,0.4827,0.2381,,0.0
Jan-2023,display,desktop,cpm,137,Hobbies & Interests,323.73,107661,123,80215,44020,7,0,0,0,3.007,0.001142,0.5488,0.0569,,0.0
Jan-2023,display,desktop,cpm,137,Health & Fitness,153.73,40671,25,38516,19717,1,0,0,0,3.7799,0.000615,0.5119,0.04,,0.0
Jan-2023,display,desktop,cpm,137,Shopping,276.56,59582,106,51284,26910,10,0,0,1,4.6417,0.001779,0.5247,0.0943,,0.009434
Jan-2023,display,desktop,cpm,137,Travel,347.13,75253,157,60236,29863,31,0,0,1,4.6128,0.002086,0.4958,0.1975,,0.006369
Jan-2023,display,desktop,cpm,137,News,311.58,75084,141,56418,31303,15,0,0,0,4.1498,0.001878,0.5548,0.1064,,0.0
Jan-2023,display,desktop,cpc,75,News,43.34,12430,17,10282,4736,0,0,0,0,3.4869,0.001368,0.4606,,,0.0
Jan-2023,display,desktop,cpc,75,Business,154.87,34507,37,27835,12131,7,0,0,0,4.4881,0.001072,0.4358,0.1892,,0.0
Jan-2023,display,desktop,cpc,75,Shopping,18.6,7997,11,6727,3365,2,0,0,0,2.3261,0.001376,0.5002,0.1818,,0.0
Jan-2023,display,desktop,cpc,75,Technology & Computing,159.56,43966,45,32150,17362,5,0,0,0,3.6291,0.001024,0.54,0.1111,,0.0
Jan-2023,display,desktop,cpc,95,Automotive,245.96,73904,56,53585,23599,8,0,0,0,3.3281,0.000758,0.4404,0.1429,,0.0
Jan-2023,display,desktop,cpc,95,Health & Fitness,570.54,141479,134,123280,69648,19,0,0,0,4.0327,0.000947,0.565,0.1418,,0.0
Jan-2023,display,desktop,cpc,95,Technology & Computing,6.14,1932,3,1323,553,0,0,0,0,3.1795,0.001553,0.418,,,0.0
Jan-2023,display,desktop,cpc,95,Education,57.05,12455,21,8461,4145,2,0,0,0,4.5803,0.001686,0.4899,0.0952,,0.0
Jan-2023,display,desktop,cpc,95,Food & Drink,62.35,18900,29,12541,6459,3,0,0,0,3.2988,0.001534,0.515,0.1034,,0.0
Jan-2023,display,desktop,cpc,95,Hobbies & Interests,11.32,3151,6,2202,1142,0,0,0,0,3.5922,0.001904,0.5186,,,0.0
Jan-2023,display,desktop,cpc,95,Arts & Entertainment,162.68,33765,50,28463,13564,6,0,0,0,4.818,0.001481,0.4765,0.12,,0.0
Jan-2023,display,desktop,cpc,85,Real Estate,71.76,14883,17,13716,7762,1,0,0,0,4.8214,0.001142,0.5659,0.0588,,0.0
Jan-2023,display,desktop,cpc,85,Health & Fitness,117.57,49381,50,32442,17771,10,0,0,0,2.3808,0.001013,0.5478,0.2,,0.0
Jan-2023,display,desktop,cpc,85,Arts & Entertainment,24.39,9707,16,8864,4557,3,0,0,0,2.5126,0.001648,0.5141,0.1875,,0.0
Jan-2023,display,desktop,cpc,85,Travel,28.7,6696,12,5181,2955,1,0,0,0,4.2862,0.001792,0.5704,0.0833,,0.0
Jan-2023,display,desktop,cpc,85,News,34.08,10864,23,8459,4651,4,0,0,0,3.1369,0.002117,0.5498,0.1739,,0.0
Jan-2023,display,desktop,cpc,85,Food & Drink,961.19,312203,643,203947,97224,146,0,0,2,3.0787,0.00206,0.4767,0.2271,,0.00311
Jan-2023,display,desktop,cpc,85,Automotive,95.15,30926,66,25422,14345,10,0,0,0,3.0767,0.002134,0.5643,0.1515,,0.0
Jan-2023,display,desktop,cpc,85,Technology & Computing,19.8,4869,8,4318,2329,0,0,0,0,4.0672,0.001643,0.5394,,,0.0
Jan-2023,display,desktop,cpc,119,Business,7.84,3347,4,3066,1486,0,0,0,0,2.3426,0.001195,0.4847,,,0.0
Jan-2023,display,desktop,cpc,119,Shopping,245.15,62619,39,53870,23116,1,0,0,1,3.9149,0.000623,0.4291,0.0256,,0.025641
Jan-2023,display,desktop,cpc,119,Health & Fitness,44.93,10795,6,10211,4382,0,0,0,0,4.1618,0.000556,0.4291,,,0.0
Jan-2023,display,desktop,cpc,119,Arts & Entertainment,35.63,8171,11,7532,3631,0,0,0,0,4.3606,0.001346,0.4821,,,0.0
Jan-2023,display,desktop,cpc,119,Hobbies & Interests,44.88,20279,26,13904,5906,1,0,0,0,2.213,0.001282,0.4248,0.0385,,0.0
Jan-2023,display,desktop,cpc,119,Real Estate,370.06,75839,85,69057,31805,6,0,0,0,4.8795,0.001121,0.4606,0.0706,,0.0
Jan-2023,display,desktop,cpc,106,Food & Drink,1041.17,469995,1032,431146,182259,145,0,0,14,2.2153,0.002196,0.4227,0.1405,,0.013566
Jan-2023,display,desktop,cpc,106,News,173.94,35502,49,30486,15675,6,0,0,0,4.8995,0.00138,0.5142,0.1224,,0.0
Jan-2023,display,desktop,cpc,106,Education,28.29,7406,15,5438,2300,3,0,0,0,3.8199,0.002025,0.4229,0.2,,0.0
Jan-2023,display,desktop,cpc,106,Technology & Computing,4538.36,1533701,1209,1159486,566219,186,0,0,4,2.9591,0.000788,0.4883,0.1538,,0.003309
Jan-2023,display,desktop,cpc,106,Business,34.15,6950,15,5635,2957,1,0,0,0,4.9138,0.002158,0.5248,0.0667,,0.0
